run_id,role,epoch,L_mse,L_bc,grad_norm,lr,n_batches
train_20260725T215707Z_seed1337,Werewolf-factorized,1,0.009114,nan,0.939153,0.001,1
train_20260725T215707Z_seed1337,Worker-factorized,1,0.010369,4.3966,0.541058,0.001,1
train_20260725T220117Z_seed1337,Werewolf-factorized,1,0.008071,nan,0.538319,0.001,1
train_20260725T220117Z_seed1337,Worker-factorized,1,0.008528,2.544183,0.420091,0.001,2
train_20260725T221953Z_seed1337,Werewolf-factorized,1,0.006834,nan,0.666657,0.001,1
train_20260725T221953Z_seed1337,Werewolf-factorized,2,0.005745,nan,0.664464,0.001,1
train_20260725T221953Z_seed1337,Werewolf-factorized,3,0.005029,nan,0.659301,0.001,1
train_20260725T221953Z_seed1337,Worker-factorized,1,0.00762,2.496218,0.57194,0.001,2
train_20260725T221953Z_seed1337,Worker-factorized,2,0.006038,2.458459,0.566425,0.001,2
train_20260725T221953Z_seed1337,Worker-factorized,3,0.005162,2.449281,0.545199,0.001,2
train_20260725T222225Z_seed1337,Werewolf-factorized,1,0.010675,nan,0.732613,0.001,1
train_20260725T222225Z_seed1337,Werewolf-factorized,2,0.008906,nan,0.706919,0.001,1
train_20260725T222225Z_seed1337,Worker-factorized,1,0.009677,3.296974,0.791568,0.001,1
train_20260725T222225Z_seed1337,Worker-factorized,2,0.008743,3.253068,0.790724,0.001,1
train_20260725T223333Z_seed1337,Werewolf-factorized,1,0.011858,2.7533,1.15229,0.001,2
train_20260725T223333Z_seed1337,Werewolf-factorized,2,0.009089,2.696922,0.938028,0.001,2
train_20260725T223333Z_seed1337,Werewolf-factorized,3,0.006814,2.64502,0.958285,0.001,2
train_20260725T223333Z_seed1337,Worker-factorized,1,0.006606,3.026247,0.593668,0.001,4
train_20260725T223333Z_seed1337,Worker-factorized,2,0.003804,2.792472,0.54817,0.001,4
train_20260725T223333Z_seed1337,Worker-factorized,3,0.002579,2.741359,0.529234,0.001,4
train_20260725T223708Z_seed1337,Werewolf-factorized,1,0.011925,3.138424,1.157382,0.001,2
train_20260725T223708Z_seed1337,Werewolf-factorized,2,0.009311,3.079492,0.942603,0.001,2
train_20260725T223708Z_seed1337,Werewolf-factorized,3,0.007084,3.022205,0.965445,0.001,2
train_20260725T223708Z_seed1337,Worker-factorized,1,0.006767,3.087204,0.685612,0.001,4
train_20260725T223708Z_seed1337,Worker-factorized,2,0.003694,3.008439,0.606263,0.001,4
train_20260725T223708Z_seed1337,Worker-factorized,3,0.002392,2.919316,0.688018,0.001,4
train_20260725T224358Z_seed1337,Werewolf-factorized,1,0.006678,5.152783,1.594991,0.001,1
train_20260725T224358Z_seed1337,Werewolf-factorized,2,0.006171,5.047728,1.6053,0.001,1
train_20260725T224358Z_seed1337,Worker-factorized,1,0.002153,2.467696,0.587823,0.001,3
train_20260725T224358Z_seed1337,Worker-factorized,2,0.001408,2.419906,0.57054,0.001,3
train_20260725T225928Z_seed1337,Werewolf-factorized,1,0.006388,2.960184,0.620147,0.001,1
train_20260725T225928Z_seed1337,Werewolf-factorized,2,0.005697,2.924305,0.61241,0.001,1
train_20260725T225928Z_seed1337,Worker-factorized,1,0.010075,2.17296,0.527163,0.001,3
train_20260725T225928Z_seed1337,Worker-factorized,2,0.005401,2.151603,0.496684,0.001,3
train_20260725T230930Z_seed1337,Werewolf-factorized,1,0.003317,2.439925,0.489362,0.001,12
train_20260725T230930Z_seed1337,Werewolf-factorized,2,0.001844,2.433137,0.445426,0.001,12
train_20260725T230930Z_seed1337,Werewolf-factorized,3,0.001014,2.423833,0.448024,0.001,12
train_20260725T230930Z_seed1337,Worker-factorized,1,0.013207,2.545299,0.559231,0.001,32
train_20260725T230930Z_seed1337,Worker-factorized,2,0.001907,2.537814,0.66511,0.001,32
train_20260725T230930Z_seed1337,Worker-factorized,3,0.001888,2.537162,0.692437,0.001,32
train_20260725T230930Z_seed1337,Werewolf-factorized,1,1.178928,1.837625,2.951018,0.001,12
train_20260725T230930Z_seed1337,Werewolf-factorized,2,0.533912,1.7375,2.165952,0.001,12
train_20260725T230930Z_seed1337,Werewolf-factorized,3,0.242797,1.669107,1.735316,0.001,12
train_20260725T230930Z_seed1337,Worker-factorized,1,0.249705,1.785308,2.399948,0.001,32
train_20260725T230930Z_seed1337,Worker-factorized,2,0.011537,1.629662,0.999819,0.001,32
train_20260725T230930Z_seed1337,Worker-factorized,3,0.005989,1.599293,0.879573,0.001,32
train_20260725T230930Z_seed1337,Werewolf-factorized,1,0.309962,1.709326,2.913918,0.001,11
train_20260725T230930Z_seed1337,Werewolf-factorized,2,0.060324,1.662559,1.587912,0.001,11
train_20260725T230930Z_seed1337,Werewolf-factorized,3,0.028428,1.640498,1.424411,0.001,11
train_20260725T230930Z_seed1337,Worker-factorized,1,0.075213,1.633086,1.681289,0.001,32
train_20260725T230930Z_seed1337,Worker-factorized,2,0.005286,1.613467,0.843368,0.001,32
train_20260725T230930Z_seed1337,Worker-factorized,3,0.003911,1.605272,0.739932,0.001,32
